;2018;Endring i prosent;Endring i prosent;Endring i prosent;Endring i prosent;
2017 - 2018;2013 - 2018;2008 - 2018;1998 - 2018;
Østfold;295420;0,9;4,8;11,3;21,3;
Akershus;614026;1,6;8,4;18,4;35,4;
Oslo;673469;1,0;7,9;20,2;34,8;
Hedmark;196966;0,4;1,7;4,1;5,8;
Oppland;189870;0,2;1,4;3,4;4,2;
Buskerud;281769;0,7;4,7;12,2;20,9;
Vestfold;249058;0,8;4,3;10,0;19,3;
Telemark;173391;0,0;1,5;4,0;5,8;
Aust-Agder;117222;0,5;3,9;10,5;15,9;
Vest-Agder;186532;1,3;5,8;12,4;22,3;
Rogaland;473526;0,3;4,7;14,7;30,0;
Hordaland;522539;0,5;4,9;12,9;21,9;
Sogn og Fjordane;110230;0,0;1,4;3,7;2,3;
Møre og Romsdal;266856;0,2;2,9;8,1;10,3;
Trøndelag;458744;.;.;.;.;
Sør-Trøndelag;0;-100,0;-100,0;-100,0;-100,0;
Nord-Trøndelag;0;-100,0;-100,0;-100,0;-100,0;
Nordland;243335;0,2;1,6;3,5;1,7;
Troms - Romsa;166499;0,5;3,8;7,7;10,8;
Finnmark - Finnmárku;76167;0,0;2,2;5,2;1,7;
