"Folkemengde 1. januar, etter region, statistikkvariabel og år"

"region";"Personer 2017"
"01 Østfold";292893
"02 Akershus";604368
"03 Oslo";666759
"04 Hedmark";196190
"05 Oppland";189479
"06 Buskerud";279714
"07 Vestfold";247048
"08 Telemark";173307
"09 Aust-Agder";116673
"10 Vest-Agder";184116
"11 Rogaland";472024
"12 Hordaland";519963
"14 Sogn og Fjordane";110266
"15 Møre og Romsdal";266274
"50 Trøndelag";0
"16 Sør-Trøndelag (-2017)";317363
"17 Nord-Trøndelag (-2017)";137233
"18 Nordland";242866
"19 Troms - Romsa";165632
"20 Finnmark - Finnmárku";76149
"21 Svalbard";0
