;2017;2017;2017;2017;2017;
Tettbygde strøk;Spredtbygde strøk;Ukjent;I alt;Andel bosatte i tettbygde strøk;
Østfold;250980;41138;775;292893;85,7;
Akershus;546053;56610;1705;604368;90,4;
Oslo;661732;1560;3467;666759;99,2;
Hedmark;112763;83101;326;196190;57,5;
Oppland;110768;78426;285;189479;58,5;
Buskerud;227189;51957;568;279714;81,2;
Vestfold;210939;35666;443;247048;85,4;
Telemark;133844;39141;322;173307;77,2;
Aust-Agder;85897;30603;173;116673;73,6;
Vest-Agder;151299;32487;330;184116;82,2;
Rogaland;414476;56410;1138;472024;87,8;
Hordaland;433519;85023;1421;519963;83,4;
Sogn og Fjordane;67387;42640;239;110266;61,1;
Møre og Romsdal;190756;74864;654;266274;71,6;
Sør-Trøndelag;254733;61744;886;317363;80,3;
Nord-Trøndelag;83313;53613;307;137233;60,7;
Nordland;171646;70494;726;242866;70,7;
Troms - Romsa;116976;48117;539;165632;70,6;
Finnmark - Finnmárku;58914;16867;368;76149;77,4;
