 ;3. kvartal 2016;4. kvartal 2016;1. kvartal 2017;2. kvartal 2017;3. kvartal 2017;4. kvartal 2017;1. kvartal 2018;
01 Østfold;729;710;888;730;762;726;802;
02 Akershus;1820;1679;2031;1810;1709;1827;2003;
03 Oslo;3255;3201;3666;3167;3216;3321;3520;
04 Hedmark;425;408;514;419;382;409;478;
05 Oppland;410;386;519;438;430;426;529;
06 Buskerud;815;752;953;742;802;717;891;
07 Vestfold;700;613;829;660;719;713;754;
08 Telemark;441;427;520;418;409;463;551;
09 Aust-Agder;293;273;342;307;257;284;331;
10 Vest-Agder;538;521;608;517;524;531;587;
11 Rogaland;1212;1216;1534;1243;1258;1362;1300;
12 Hordaland;1383;1348;1633;1395;1362;1426;1562;
14 Sogn og Fjordane;185;207;291;212;219;229;261;
15 Møre og Romsdal;569;498;632;563;503;559;650;
16 Sør-Trøndelag (-2017);954;906;1007;861;853;863;0;
17 Nord-Trøndelag (-2017);288;250;329;306;253;266;0;
18 Nordland;513;419;559;461;520;536;573;
19 Troms - Romsa;387;408;489;403;387;389;520;
20 Finnmark - Finnmárku;160;143;190;156;159;168;193;
21 Svalbard;7;18;6;7;11;11;16;
50 Trøndelag;0;0;0;0;0;0;1475;
99 Uoppgitt fylke;39;46;19;33;46;48;53;
