	county	startups_2017	population	startups_per_capita	startups_per_1000
0	østfold	3106	292893	0.010604555247138034	10.604555247138034
1	akershus	7377	604368	0.012206139305853387	12.206139305853387
2	oslo	13370	666759	0.02005222276714675	20.052222767146752
3	hedmark	1724	196190	0.008787399969417402	8.787399969417402
4	oppland	1813	189479	0.009568342665941872	9.568342665941872
5	buskerud	3214	279714	0.011490307957413643	11.490307957413643
6	vestfold	2921	247048	0.011823613224960332	11.823613224960331
7	telemark	1810	173307	0.010443894360874055	10.443894360874054
8	aust-agder	1190	116673	0.010199446315771429	10.199446315771429
9	vest-agder	2180	184116	0.011840361511221186	11.840361511221186
10	rogaland	5397	472024	0.011433740657254715	11.433740657254715
11	hordaland	5816	519963	0.011185411269648032	11.185411269648032
12	sogn-og-fjordane	951	110266	0.008624598697694665	8.624598697694665
13	møre-og-romsdal	2257	266274	0.008476231250516386	8.476231250516387
14	sør-trøndelag	3584	317363	0.011293061888121804	11.293061888121803
15	nord-trøndelag	1154	137233	0.008409056130814017	8.409056130814017
16	nordland	2076	242866	0.008547923546317723	8.547923546317723
17	troms	1668	165632	0.010070517774343122	10.070517774343122
18	finnmark	673	76149	0.008837936151492469	8.83793615149247
